id,timestamp,vehicle_id,route_id,lat,lon,direction
1,1535266661,406,804,34.116257,-118.156545,0.0
2,1535266621,401,804,34.088014,-118.21243,180.0
3,1535266661,411,804,34.047772,-118.227849,180.0
4,1535266649,407,804,34.070755,-118.228575,0.0
5,1535266587,413,804,34.133057,-118.003055,0.0
6,1535266480,404,804,34.136919,-117.891003,0.0
7,1535266642,412,804,34.152505,-118.10424,180.0
8,1535266661,402,804,34.112384,-118.164327,180.0
9,1535266649,410,804,34.047513,-118.22415,0.0
10,1535266661,405,804,34.152417,-118.114348,0.0
11,1535266610,408,804,34.03335,-118.162183,0.0
12,1535266661,409,804,34.033406,-118.155974,180.0
13,1535266841,406,804,34.116257,-118.156545,0.0
14,1535266801,401,804,34.088014,-118.21243,180.0
15,1535266841,411,804,34.047772,-118.227849,180.0
16,1535266829,407,804,34.070755,-118.228575,0.0
17,1535266767,413,804,34.133057,-118.003055,0.0
18,1535266660,404,804,34.136919,-117.891003,0.0
19,1535266822,412,804,34.152505,-118.10424,180.0
20,1535266841,402,804,34.112384,-118.164327,180.0
21,1535266829,410,804,34.047513,-118.22415,0.0
22,1535266841,405,804,34.152417,-118.114348,0.0
23,1535266790,408,804,34.03335,-118.162183,0.0
24,1535266841,409,804,34.033406,-118.155974,180.0
25,1535266993,406,804,34.140317,-118.14815,0.0
26,1535267013,401,804,34.06118,-118.235,180.0
27,1535267013,411,804,34.042067,-118.2061,180.0
28,1535267024,407,804,34.105976,-118.202887,0.0
29,1535267024,413,804,34.12906,-117.932574,0.0
30,1535267006,404,804,34.130966,-117.922589,180.0
31,1535267013,412,804,34.144517,-118.148217,180.0
32,1535267024,402,804,34.098552,-118.206192,180.0
33,1535267024,410,804,34.053178,-118.237752,0.0
34,1535267013,405,804,34.148733,-118.067852,0.0
35,1535267013,408,804,34.033783,-118.192167,0.0
36,1535267173,406,804,34.140317,-118.14815,0.0
37,1535267193,401,804,34.06118,-118.235,180.0
38,1535267193,411,804,34.042067,-118.2061,180.0
39,1535267204,407,804,34.105976,-118.202887,0.0
40,1535267204,413,804,34.12906,-117.932574,0.0
41,1535267186,404,804,34.130966,-117.922589,180.0
42,1535267193,412,804,34.144517,-118.148217,180.0
43,1535267204,402,804,34.098552,-118.206192,180.0
44,1535267204,410,804,34.053178,-118.237752,0.0
45,1535267193,405,804,34.148733,-118.067852,0.0
46,1535267193,408,804,34.033783,-118.192167,0.0
47,1535267385,406,804,34.149532,-118.087822,0.0
48,1535267366,401,804,34.047861,-118.229378,180.0
49,1535267366,411,804,34.033319,-118.168064,180.0
50,1535267385,407,804,34.115151,-118.157899,0.0
51,1535267293,413,804,34.136919,-117.891003,0.0
52,1535267385,404,804,34.132387,-117.995414,180.0
53,1535267353,412,804,34.115352,-118.157655,180.0
54,1535267385,402,804,34.063861,-118.23584,180.0
55,1535267376,410,804,34.06675,-118.234833,0.0
56,1535267385,405,804,34.132387,-117.995071,0.0
57,1535267376,408,804,34.047232,-118.219914,0.0
58,1535267323,409,804,34.03335,-118.162183,0.0
59,1535267566,406,804,34.148369,-118.073431,0.0
60,1535267566,401,804,34.046044,-118.216283,180.0
61,1535267545,411,804,34.033418,-118.155782,180.0
62,1535267558,407,804,34.128831,-118.14802,0.0
63,1535267566,413,804,34.136857,-117.891613,0.0
64,1535267537,404,804,34.140337,-118.02527,180.0
65,1535267566,412,804,34.109986,-118.194955,180.0
66,1535267566,402,804,34.056061,-118.234759,180.0
67,1535267566,410,804,34.087263,-118.213191,0.0
68,1535267566,405,804,34.132544,-117.968079,0.0
69,1535267526,408,804,34.047861,-118.229378,0.0
70,1535267545,409,804,34.033386,-118.180208,0.0
